,Priority,Summary,time
7010,0,rollback intermittently causes data loss,2
7011,1,ldifparser goes into infinite loop when passed a non-ldif file,2
7012,1,default dn parser does not handle hash/sharp symbol correctly,2
7013,2,"empty orfilter should be false (|) and empty andfilter should be true (&), see also rfc",2
7014,2,unable to retrieve multiple binary values using baseenvironmentproperties,2
7015,2,embedded ldap tries to create class not in current apacheds,2
7016,2,dircontextadapter doesn't implement several important methods,0
7017,2,class-level javadoc for orfilter uses andfilter in sample code,0
7018,2,dircontextadapter.getobjectattribute throws java.util.nosuchelementexception,0
7019,2,javadoc for presentfilter and notpresentfilter is incorrect,1
7020,1,typos in dircontextadapter,0
7021,1,distinguishedname badldapgrammarexception when quotes,0
7022,2,documentation error: transaction manager configuration,0
7023,1,notpresentfilter does not define equals(),0
7024,1,defaultdircontextfactory uses java illegalargumentexception constructor,0
7025,1,farsing fails when cn ends with space characters,2
7026,1,the constructor defaultdircontextvalidator(int searchscope) does not actually set scope in searchcontrols,2
7027,2,"active directory -- dircontextadapter.addattribute, removeattribute does not work correctly",2
7028,2,defaultcompensatingtransactionoperationmanager has incorrect debug output in commit method,0
7029,1,getting classcastexception even when i am not using custom dirobjectfactory.,0
7030,1,datasource connections not being released when ldap connection fails in jdbc integrated transaction.,2
7031,1,org.springframework.ldap.core.support.ldapcontextsource missing getreferral,2
7032,2,ldaputils convertldapexception fails to convert exceptions when they are extended,2
7033,1,resultsize not set for pagedresultsdircontextprocessor,2
7034,1,can't build . . from sources,0
7035,1,. . class files doesn't match sources,0
7036,1,recursive unbinds fail in transactional context,2
7037,1,defaultdircontextvalidator errors with default empty base,2
7038,1,look over package structure in documentation,1
7039,1,distinguishedname violates the equals()/hashcode() contract,0
7040,1,using the aggregatedircontextprocessor to to use both a sortcontroldircontextprocessor and a pagedresultsrequestcontrol does not work,2
7041,1,setting context.referral to 'follow' results in dn parse exception,0
7042,2,namenotfound is silently ignored in search,0
7043,1,base context is lost on ibm jvm,2
7044,1,cookie wrapper class could be null even if paging supported,2
7045,1,pagedresultsrequestcontrol should be non-critical,1
7046,1,java.lang.classcastexception: org.springframework.ldap.transaction.compensating.manager.contextsourceanddatasourcetransactionmanager$contextsourceanddatasourcetransactionobject thrown on inner transaction rollback,1
7047,1,"illegalstateexception: cannot deactivate transaction synchronization - not active"" thrown when when 'inner' transaction for ldap context source fails to get a connection",1
7048,2,"defaultdircontextvalidator uses onelevel_scope, validatedircontext() fails",1
7049,1,version number problem in spring-ldap-tiger pom.xml,2
7050,1,modifyattributes produces invalid schemaviolationexception in a particular use case,2
7051,2,java : noclassdeffounderror: com.sun.jndi.ldap.ctl.pagedresultsresponsecontrol,1
7052,1,paged results doesn't work when using a single pooled connection,1
7053,1,incorrect handling of partialresultexception in ldap.core.ldaptemplate,1
7054,1,org.springframework.ldap.core.distinguishedname should respect rfc,1
7055,1,multiple urls in contextsource,0
7056,1,noclassdeffounderror for pagedresultscontrol,1
7057,1,distinguishedname.parse() does not correctly handle dns that contain \,1
7058,1,reference documentation still claims dataaccessexception hierarchy,0
7059,1,sortcontroldircontextprocessor not working with jre . . .,0
7060,2,"error in javadoc ldaptemplate search(searchexecutor, nameclasspaircallbackhandler, dircontextprocessor)",1
7061,1,allow eager invalidation of dirty (pooled) connections,2
7062,1,ldaputils#convertldapexception fails to convert some namingexceptions to the narrowest possible type,1
7063,2,implementation and documentation of contextsourceanddatasourcetransactionmanager seem contradictory,1
7064,1,java.lang.verifyerror in class org.springframework.ldap.support.ldaputils,1
7065,2,escaping of weird characters in distinguishednames is inconsistent,2
7066,1,the order of a multi-valued attribute is not preserved by modifyattributes(dircontextoperations),2
7067,1,simpleldaptemplate search method delegates to incorrect ldapoperations method.,0
7068,2,javadoc - no package document for org.springframework.ldap.core.support,0
7069,2,the logger in abstractcontextsource uses the ldapcontextsource class.,0
7070,1,com.sun.jndi.ldap.ctl.responsecontrolfactory should not be referenced by ldapcontextsource,0
7071,0,abstractconnectionsource should ignore sun_ldap_pooling_flag in base environment,1
7072,1,nullpointerexception when using manually created ldaptemplate when calling search if anonymousreadonly=false,0
7073,2,upgrade guide - spellings,1
7074,1,acegiauthenticationsource does not support anonymous authentication,1
7075,1,nullpointerexception when getting pagedresultsrequestcontrol response,0
7076,1,badldapgrammarexception when a group or principal contains a '\' in its name,2
7077,1,dircontextadapter.getmodificatioitems() doesnt ignore case when collecting values to be removed and added.,1
7078,2,documentation error,0
7079,2,documentation error,0
7080,1,controls[] java.lang.nullpointerexception when performing pagedresultsrequestcontrol search,1
7081,2,ldap person example using openldap,0
7082,1,badldapgrammarexception: rdn could not be parsed fully,1
7083,0,pagedresultsrequestcontrol failing when used with ad,1
7084,1,dircontextadapter.getnameinnamespace() doesn't return full dn,0
7085,1,dircontextadapter.setattribute(),1
7086,1,exceptions not serializable,1
7087,1,dircontextadapter.getmodificationitems() returns password when password unchanged,1
7088,1,support multi-valued distinguished names,0
7089,2,the test for apache kafka sample should check if the broker and zookeeper are running,0
7090,2,mail application doesn't work properly,2
7091,2,sample web project eclipse metadata missing,0
7092,2,retry-and-more does not run,0
7093,2,jms gateway sample hijacks system.out,1
7094,2,fix classpath in applications/cafe-scripted/pom.xml,0
7095,1,fix intermittently failing tests,1
7096,1,don't use hard-coded port in the 'mail-attachments' sample,0
7097,0,fix cafe-amqp json serialization,1
7098,2,typos in mail and multipart sample,2
7099,2,add jmx channel adapters and remote monitoring to intermediate/monitoring sample for springone,1
7100,2,monitoring sample fixes,0
7101,2,pollish the jpa samples,1
7102,2,sample poms have incorrect repo,1
7103,2,ftp sample throws an exception at the end,1
7104,2,basic/file sample doesn't run with . .m,1
7105,2,ftp sample is failing on build server - ftpoutboundgatewaysample,2
7106,1,fix travel example - spring version yahoo service issue,2
7107,1,fix failing tests in tcp client server sample,1
7108,2,advanced dynamic ftp sample incompatible with s.i. . . .m,0
7109,2,basic ftp sample 'user' property incompatible with spring .,0
7110,1,web service inbound gateway sample fails to run,2
7111,2,sftp outbound sample does nothing,2
7112,2,basic ws sample test doesn't run,2
7113,1,basic file sample (text copy) has incorrect filter attribute,2
7114,1,twitter sample still uses twitter j and pom doesn't run tests,0
7115,1,ftpoutboundchanneladaptersample assert statements need to be modified,2
7116,2,spring integration sample - basic/xml readme.md needs modification,1
7117,2,spring integration sample - basic/ws-outbound-gateway readme.md needs modification,1
7118,2,spring integration jms sample pom needs modification,0
7119,1,basic/jms pom problems,0
7120,2,remove eclipse metadata files from samples,1
7121,1,spring . . .release compatibility issues with spring integration tcp client server sample,0
7122,2,"amqp sample is missing outbound adapter, and snapshot repo",1
7123,1,recent . . update changed generic jre to mac osx,2
7124,2,http sample only returns characters in reply,2
7125,2,xml samples is still dependent on mapbasedchannelresolver,0
7126,1,consumerawarerebalancelistener.onpartitionsassigned() is not invoked when single consumer registered,0
7127,2,spring integration smb xml error at runtime,0
7128,2,spring integration with jsp,0
7129,2,s messagehandler upload fails for file message.,0
7130,2,file transfer with md always fails,0
7131,2,@topicpartition#partitions doesn't support property place holders and spel expressions,0
7132,1,unzipresultsplitter fails to copy headers from upstream,1
7133,1,kafka outbound adapter does not throw timeoutexception,0
7134,2,make kafkaproducercontext.beanname as null in the kafkaproducermessagehandlerspec,0
7135,2,"kafkaproducercontext should not specify ""beanname""",0
7136,2,ensure executor is shut down,2
7137,2,kafka outbound channel adapter schema does not allow <request-handler-advice/>,1
7138,2,"amqpinboundchanneladapterspec inboundadapter(connectionfactory connectionfactory, string... queuenames) gotcha",0
7139,2,"concurrentmessagelistenerdispatcher has an overhead with extra objects when ""concurrency > partitions""",1
7140,2,add listener(s) for delivery/failure,0
7141,2,the .route() with .subflowmapping() as the last eip-method causes dispatcher has no subscribers,0
7142,2,(s)ftp factories create a generic remotefiletemplate,0
7143,2,"the <int-aws:s -outbound-channel-adapter> doesn't have ""phase"" attribute",1
7144,2,gitignore not ignoring awscredentials.properties during check in,2
7145,1,"""dispatcher has no subscribers"" when .gateway() uses explicit ""replychannel""",0
7146,2,amazons inboundsynchronizationmessagesource should allow empty string for remote directory,0
7147,2,the <int-aws:s -inbound-channel-adapter> doesn't support property-placeholder in the local-directory property,0
7148,2,allow adding advice handler on aws outbound channel adapter,1
7149,2,fetch task pool size is calculated incorrectly,0
7150,2,upgrading to si . causes kafkaproducingmessagehandler initialization to fail,0
7151,2,kafka: long running tasks should implement schedulingawarerunnable,0
7152,1,messages with no id and timestamp should not have mutablemessageheaders,0
7153,0,kafkalistenercontainer does not recover when a partition becomes leaderless,0
7154,2,<int-hazelcast:outbound-channel-adapter> doesn't support <poller> sub-element,1
7155,1,use separate schemas for . and . namespaces,0
7156,1,stop the kafkamessagelistenercontainer only after the messagelistener threads have shut down,0
7157,2,npe in the kafkaproducermessagehandler if no topic configured in header,0
7158,1,queueingmessagelistenerinvoker should not use fair accesses,0
7159,2,"remove extra ""_"" for some kafkaheaders constants",1
7160,1,add support for dynamic topic resolution to the kafkaproducermessagehandler,0
7161,1,integrationflowbeanpostprocessor overrides beans when end-class implements integrationflow,0
7162,1,implement lifecycle in kafka outbound adapter,0
7163,2,the code for splitting long messages into parts that can be handed off to the smsc does not work when text has newlines,0
7164,2,"dsl: missed proxy logic on ""outputchannel"" population when target messagehandler is an aop proxy, e.g. as a result of jmx export",0
7165,1,iterator is in failed state when more then one consumer context defined,0
7166,1,not able to use properties or expression in kafka integration components,1
7167,2,"splunk queries do not send parameter ""count"", if it is "" """,1
7168,2,<int-splunk:index-writer> index attribute doesn't reflect the property name of splunkindexwriter,0
7169,2,spring-integration-mqtt problem when using int-jdbc:outbound-channel-adapter version and not,0
7170,1,"kafka consumer-configuration namespace does not allow placeholders for ""group-id"" and ""streams"" attributes",1
7171,1,build fails with unresolved dependency,2
7172,1,adapter not working with splunk,1
7173,2,close paho client when unsubscribe exception,0
7174,2,expand the avro support in spring integration kafka adapter to include specific datum reader/writer,2
7175,2,null objects not handled properly in inboundfilesynchronizationimpl,2
7176,2,kafka: fixing bug in decoding message streams,0
7177,0,s connectionpooltimeoutexception,2
7178,2,samples for splunk adapter are out of date,2
7179,1,when using splunk adapter dependency it can't find splunk.jar .,2
7180,2,provide instructions/readme for running the samples for the kafka adapters,2
7181,2,fix build.gradle - the schema is not bundled correctly,0
7182,2,deploy mqtt java client to artifactory,0
7183,2,aws fix failing tests,0
7184,0,smb - infinite loop,1
7185,2,smpp - fix failing unit tests,2
7186,1,aws sqs endpoint not settable,2
7187,2,splunk - incorrect comparison in splunkdatawriter,0
7188,2,fix print module build issues,1
7189,2,broken db sql for int_lock,0
7190,2,the mongodboutboundgateway.collectioncallback doesn't give access to the request mesdage,0
7191,2,detect invalid component overrides in the dsl,0
7192,2,integrationcomponentscanregistrar doesn't honor application context environment for its internal classpathscanningcandidatecomponentprovider,0
7193,2,uniqueexpirycallback error message,0
7194,2,fix race in filesystempersistentacceptoncefilelistfilter,0
7195,2,messaging annotations register two beans when a method signature is with the factorybean<?> return type,0
7196,1,multipart upload via inbound http gateway error,0
7197,1,unhandled converter exception ends in stderr instead of log,0
7198,2,persistent message groups not expiring after restart of application,1
7199,1,deadlock in abstractcorrelatingmessagehandler,0
7200,1,replyproducingmessagehandlerwrapper does not have it's oninit method called,0
7201,2,add json string to jsonnode transformer,0
7202,2,the correlation messagehandler doesn't popsequencedetails() unless an abstractaggregatingmessagegroupprocessor is in use,0
7203,1,bean scope prototype not working despite advice in error message to use it,0
7204,2,splitter doesn't consult an arraynode.size() for the proper sequence details headers generation,0
7205,1,mockintegrationcontext substitutemessagehandlerfor not working for reactivestreamsconsumer,0
7206,0,springintegrationtest context rises twice,0
7207,2,an isssue tracker based on the agile methodology.,0
7208,2,(s)ftp rotating server advice uses string as key but should use object,0
7209,1,memory leak via micrometer dynamic flows,1
7210,2,delayhandler - reschedule failed transactional sends,0
7211,2,nonnullapi violations,0
7212,1,eofexception when using nio feature of tcpconnection socket client,0
7213,1,mailreceivingmessagesource overrides setbeanfactory,0
7214,2,beancurrentlyincreationexception when using @bridgefrom annotation on @configuration class,0
7215,2,refactor integrationregistrar to register beans as late as possible,0
7216,2,spring-integration-mail version . . release jar corrupted at maven centrol,0
7217,2,integrationgraphserver does not consider dynamic flows,0
7218,1,memory leak in integrationmanagementconfigurer,0
7219,2,spring integration dsl equivalent for 'int-jms:message-driven-channel-adapter' with 'subscription-shared' option,0
7220,1,timeout is lost on abstractmessagechannel#dosend,0
7221,1,memory leak in fluxmessagechannel?,0
7222,0,memory leak in integrationflowdefinition,0
7223,1,abstractmessagesplitter does not close java.util.stream payloads,0
7224,2,fix new package tangle,0
7225,2,incorrect assertion for isclientset in httpmessagehandlerspec.errorhandler,0
7226,1,premature bean loading triggered in integrationflowbeanpostprocessor,0
7227,2,defaultamqpheadermapper ignores correlationid when contenttype is not set,0
7228,1,jdbcmetadatastore compatibility with sql server,0
7229,1,not closed filehandles when using filesystemresource for private key with defaultsftpsessionfactory,0
7230,2,(s)ftp remote add rawcomparator,0
7231,2,"maxfetch should not consider '.', '..' or any directory",0
7232,2,spring-cloud-gateway-core nettyroutingfilter throws npe when response contenttype is null,0
7233,2,defaultlockrepository doesn't supports lowercase mysql schema names on linux mysql,1
7234,2,"the smartlifecycle.stop(runnable callback) implementation must always call callback, in the end",0
7235,1,messagechannelspec-bean causes beancurrentlyincreationexception,0
7236,2,fix feed syndentrypublisheddatecomparator,0
7237,2,amqp inbound sends second error message,0
7238,2,add license etc to jars,0
7239,2,lambdamessageprocessor: headers not passed into handle lambda if payload is a map,0
7240,1,unmarshallingtransformer doesn't support byte[],0
7241,2,new package tangle,0
7242,2,using multiple instances of aggregator per cluster may be problematic,0
7243,2,delay propagating socket close when using nio,0
7244,2,application start instability in zookeepermetadatastore,0
7245,2,mqttpahoclientfactory.getconnectionoptions().setmaxinflight() is not honored,0
7246,2,webflux.inboundchanneladapter not working with empty post bodies,0
7247,2,add support for json in byte[] to jsonpathutils,0
7248,1,errormessageexceptiontyperouter nullpointerexception,0
7249,0,no interface to set replytoqmgr in jms message,0
7250,2,messagegroup not getting expired when group-timeout-expression evaluates to a negative value,1
7251,2,messaging gateway: the @gateway(payloadexpression = ) is not consulted when no method args,0
7252,2,npe in the messaginggatewayregistrar when default-payload-expression but now any default-headers,0
7253,1,lockregistryleaderinitiator must handle error on unlock otherwise we are still leader without the real locking,0
7254,2,embeddedjsonheadersmessagemapper maps id and timestamp even if it is not configured for that,0
7255,2,jdbcmessagestorechannelonepollerintegrationtests.testsametransactiondifferentchannelsendandreceive fails intermittently,0
7256,2,sporadic failure in aggregator test,0
7257,1,mutablemessageheaders no longer supports serialized uuid,0
7258,2,add gauge micrometer metrics to reference manual,0
7259,1,multiple namedcomponent with same name break smartlifecyclerolecontroller,0
7260,2,scattergatherhandler overrides replychannel header,0
7261,2,no longer able to compose integrationflows from integrationflows that are beans.,0
7262,2,reconsider expression parsing logic in the messagepublishinginterceptor,0
7263,2,output channel is not set when using mockintegrationcontext to substitute the service activator,0
7264,1,iterator-based filesplitter doesn't close it's bufferedreader when exception happens in downstream flow,0
7265,2,possible threading issue with collectionargumentresolver,0
7266,2,unknown response type exception,0
7267,2,make micrometer dependency optional,0
7268,2,null failedmessage with queuechannel and cachingsessionfactory,0
7269,0,@springintegrationtest cannot collaborate with @springboottest,0
7270,2,integrationflowcontext: do not allow to override registration with the same id,0
7271,2,routerspec.subflowmapping() doesn't work with dynamic registration,0
7272,1,the 'integrationargumentresolvers' bean brings additional argument resolvers affecting payload conversion,0
7273,2,webserviceoutboundgateway ignores soapaction from incoming soapmessage,0
7274,2,custom error channel configuration ineffective in javaconfig,0
7275,2,log j leveladjuster builder pattern problem,0
7276,2,missing javadoc on many spring cloud project sites,0
7277,1,question about uri variables and the httprequestexecutingmessagehandler,0
7278,2,all headers are copied when using a @transformer,1
7279,2,lockregistryleaderinitiator exits election loop for any exception,0
7280,2,additional micrometer metrics,0
7281,2,upgrade to jackson . . and fix jacksonjsonutils.messagingawaremapper() for compatibility,0
7282,2,amqp header mapper copies standard headers to messageproperties.getheaders() too,1
7283,2,deadlock in filewritingmessagehandler,0
7284,2,jmsoutboundgateway does not shutdown the reply container,0
7285,2,tcp events on intercepted connections do not contain the connection factory name,0
7286,2,i want to see all users,1
7287,2,bytearrayelasticrawdeserializer returns an empty byte[] on second call,0
7288,2,error count is incremented in defaultmessagechannelmetrics when countsenabled=true even if there are no errors,1
7289,1,wrong metrics when use several chained message handlers,0
7290,2,searchreceivingmessagesourcewithredistests fails when no redis available,0
7291,1,definition of service-activator in pojo-style does not work with annotaded parameters,0
7292,2,datagrampacketmulticastsendinghandlertests verifysendmulticastwithacks fails intermittently,1
7293,2,rework more tcp tests to use port,0
7294,2,failure in methodinvokingmessagehandler,0
7295,2,consider some stompsubprotocolhandler variant to let to send messages from the client via send frame,0
7296,1,mappingutils overrides the contenttype set by the defaultamqpheadermapper,0
7297,1,webfluxrequestexecutingmessagehandler fails silently,0
7298,1,int-ws:outbound-gateway does not send payload if not soap,0
7299,2,redismessagestore uses incorrect classloader,0
7300,2,unable to use custom directory scanner when using java dsl,0
7301,2,fileinboundchanneladapter with watch service incompatible with lastmodifiedfilelistfilter?,2
7302,1,webfluxinboundendpoint translates all non- http status codes to notacceptablestatusexception,1
7303,1,misleasing or even wrong behaviour when using own scanner on inbound-channel-adapter,0
7304,2,serverwebsocketcontainer must implement smartlifecycle,1
7305,2,npe in abstractremotefileoutboundgateway,1
7306,0,deserializingconverter needs class/package white listing,0
7307,2,redisqueuemessagedrivenendpoint setreceivetimeout(): javadoc does not match code,0
7308,2,roster is still not fully disabled if subscription mode is set to null,0
7309,2,the payload transformer filetostringtransformer results in an outofmemoryerror in case of large file content,0
7310,2,server startup issue with spring integration with integration-graph usage,0
7311,0,spring .x jdk gives java.lang.noclassdeffounderror: could not initialize class org.springframework.beans.factory.beancreationexception exception,0
7312,2,integrationmanagementconfigurer overrides logging preferences,0
7313,2,fix ./gradle reference warnings,0
7314,2,performance optimization for si bean post processors,0
7315,2,jpainboundchanneladapterparser doesn't register jpaexecutor bean properly when we don't provide id,0
7316,2,<int-file:outbound-channel-adapter> doesn't configure preserve-timestamp attribute,0
7317,2,ftp inbound channel adapter prompts local file already exists even the first time,0
7318,1,fail to start applicationcontext when rabbitmq server down,1
7319,1,jsontoobjecttransformer tries to load unexpected kotlinmodule,0
7320,2,jackson jsonobjectmapper should use jackson objectmapperbuilder and don't load modules unconditionally,0
7321,2,jmsdeliverymode and jmsexpiration headers coming from upstream applications are defaulted in spring,2
7322,2,message create using mutablemessagebuilder share same messageheaders object,1
7323,2,jdbclockregistry is not handling querytimeoutexception,0
7324,2,ftp inbound channel adapter failed to overwrite exisitng file if enable preserve timestamp,0
7325,2,requesthandlercircuitbreakeradvice.circuitbreakeropenexception should be a messagingexception,1
7326,1,folder closed exception in after receiving the message - abstractmessagehandler,2
7327,2,filewritingmessagehandler auto flush without lock,0
7328,2,fix link(s) in legacy schema warning,0
7329,2,abstractcorrelatingmessagehandler: messages not cleaned from messagestore on exception in sendoutputs,1
7330,2,classcastexception in jms.inboundgateway configurelistenercontainer,0
7331,2,stompinboundchanneladapterwebsocketintegrationtests testwebsocketstompclient fails intermittently,2
7332,2,jackson whitelisting in new messagingawaremapper(),0
7333,2,java.time.instant wrong type mapping with @header,0
7334,0,missing beans in integration flows,0
7335,1,inboundchanneladapter and bean methods with arguments,0
7336,2,messagebuilder does not honor readonlyheaders for unchanged message,0
7337,2,filewritingmessagehandlertests noflushappend fails intermittently,2
7338,2,allow messagechannels and messagehandlers to be proxied with cglib,0
7339,2,two spring folders in file->new,0
7340,2,make json serialization in messagestore implementations much easy and reliable,0
7341,2,messagehandler-based subscriber handlers executed after other handlers,0
7342,2,possible bug in schema-drop-mysql.sql file,0
7343,1,integrationresourceholder is bound to a transaction unconditionally,0
7344,2,in the abstractcorrelatingmessagehandler make rescheduling group log message as a warn,0
7345,2,default value of redis_zsetincrementscore header must be false,1
7346,2,lockregistryleaderinitiator can raise exception on release not received lock,0
7347,2,rate statistics mean does not decay with time via getstatistics(),0
7348,1,redislockregistry does not release lock after ttl expiry,1
7349,2,jdbclockregistryleaderinitiatortests testdistributedleaderelection fails intermittently,1
7350,1,lockregistryleaderinitiator does not revoke leadership when leading instance is unable to acquire lock,0
7351,2,serviceactivatorannotationpostprocessor$replyproducingmessagehandlerwrapper is not public,1
7352,2,jpaoutboundgateway has an overhead by returning the whole message,0
7353,2,org.springframework.integration.sftp.session.sftpsessionfactorytests testdefaultuserinfotrue fails intermittently,0
7354,2,http: suppress sending a body with a head request,0
7355,2,delayerhandlerrescheduleintegrationtests testdelayerhandlerreschedulewithredismessagestore fails intermittently,2
7356,2,socketsupporttests testnioclientandserverssldifferentcontexts fails intermittently,0
7357,2,mqtt doesn't detect a subscription error,0
7358,2,filewritingmessagehandlertests noflushappend fails intermittently,0
7359,2,dsl transformer that takes message causes classcastexception,0
7360,2,abstractinboundfilesynchronizer drops remote files even if their timestamp have been changed,0
7361,2,(s)ftp preserve timestamp doesn't work for mget,0
7362,2,abstractmethodannotationpostprocessor incorrectly creates a channel,0
7363,2,cqinboundchanneladaptertests testpayloadexpression fails intermittently,0
7364,2,mmih conversionservice must not be null,0
7365,2,leaderinitiators should not fail from granting/revoking in case of exception from the events publishing,0
7366,2,chainfilelistfilter provides object[] instead of file[] during iteration,0
7367,2,compositefilelistfilter runs all files through all filters,0
7368,2,outboundendpointtests testasyncdelayexpression fails intermittently,0
7369,1,jdbcmessagestore header identifiers are invalid according to jms spec,0
7370,2,"storedprocoutboundgateway produces npe in case of null from the db and expect-single-result=""true""",0
7371,2,gatewaymethodinboundmessagemapper - annotation alias resolution not working,0
7372,1,headers are not set when used with messagebuilder apis,0
7373,2,useless assertion in paho converter (if stack trace suppressed).,0
7374,2,allow postprocessing sslengine in a similar manner to sslsockets,0
7375,2,split messages with large header and aggregate them will lead in cost increasing since spring integration . .,0
7376,1,jmsoutbound gateway does not terminate all replylistener container threads,0
7377,1,watchservice and java .,0
7378,2,fix missing poller in (s)ftp java config docs,0
7379,2,provide a mechanism to configure ssl handshake timeout,0
7380,2,rlr spec passes null to a method that asserts notnull,0
7381,1,transaction serialization exception occurs when using jdbclockregistry based lockregistryleaderinitiator on postgresql,0
7382,2,"gemfire tests fail intermittently with ""java.lang.runtimeexception: could not fork cache server""",0
7383,1,defaultsftpsessionfactory.getsession() race condition when issharedsession,0
7384,1,the delivery of message with be much slower to downstream filter with header parameter,1
7385,2,zklockregistrytests fails intermittently,0
7386,2,"when messagesource is proxyed (e.g. abstractmessagesourceadvice), the tx sync logic doesn't work",0
7387,2,refactor imapmailreceivertests for better performance,2
7388,2,do not wrap listener exceptions in messagingexception,0
7389,2,watch service inbound file adapter; reversible filter doesn't work with default configuration,0
7390,2,filewritingmessagehandler should be protected around outstreamstream creation errors,0
7391,2,asyncamqpgatewaytests testconfirmsandreturns fails intermittently,0
7392,2,ensure logginghandler is robust against npe,0
7393,2,delayerhandlerrescheduleintegrationtests testdelayerhandlerreschedulewithgemfiremessagestore fails intermittently,0
7394,1,abstractremotefilestreamingmessagesource returns an exception instead of throwing it,0
7395,0,aggregator o(n) insert cost with sequencesizereleasestrategy,1
7396,2,content-type mapping issues,0
7397,1,sourcepollingchanneladapter: the messagesource must be started before scheduling the polling task,0
7398,1,ftp controlencoding set too late,0
7399,2,zookeeperlockregistry$zklock.trylock() never succeeds,0
7400,0,redislock.obtainlock() doesn't provide desired distributed lock guarantee,0
7401,2,tcpnioconnectionreadtests fails intermittently,0
7402,2,allow customize prefix,2
7403,1,"error ""messageheaders is immutable"" in abstractkeyvaluemessagestore normalizemessage",1
7404,0,poller advicechain applied each time component is started,0
7405,2,revise all out-of-the-box xml components for presence <poller> and <request-handler-advice-chain> sub-elements,2
7406,2,npe in integrationgraphserver,0
7407,2,filereadingmessagesource doesn't honor running flag in the start()/stop(),0
7408,2,redislockregistry must unlock local lock in the obtain() if the target redis lock has been expired,0
7409,1,no qualifying bean of type [org.springframework.transaction.platformtransactionmanager] is defined,0
7410,2,pollableamqpchannel reverses headermappers,0
7411,2,jmsmessagedrivenendpoint should mark container as autostratup = true,0
7412,2,"fix typo in integrationmessageheaderaccessor.closeable_resource = ""closableresource"" value",0
7413,2,poormansmailserver.imapserver doesn't provide a proper imapmessage when headermapper is provided for adapter,0
7414,2,logginghandler.setshouldlogfullmessage implemented incorrectly,0
7415,1,correlation key is not set at inbound-gateway,2
7416,1,aggregatorwithredislockstests testdistributedaggregator fails intermittently,0
7417,2,zookeeperleadertests testleader fails intermittently,0
7418,2,zookeeperlockregistry doesn't honor lock protocol,0
7419,2,slowing performance in reading/closing inputstream in resttemplate,1
7420,2,redislockregistrytests testtwothreadsdifferentregistries fails intermittently,1
7421,2,mongodbmessagestore could not determine isnewstrategy error,1
7422,1,unable to remove header fields using <service-activator/> or other high-level abstractions,0
7423,1,incorrect header handling in resequencer,0
7424,2,requestreplyscenarioswithtempreplyqueuestests.testconcurrently fails intermittently,0
7425,1,abstractstompsessionmanager.connect() nullpointerexception,0
7426,2,automatic channel creation makes applications brittle and very sensitive to class path ordering,0
7427,0,publishsubscribechannel with applysequence = true overrides messagewiththreadstate,0
7428,0,gatewayproxyfactorybean doesn't support message<?> receive only variant,0
7429,1,ioexception when processed empty file with filesplitter and filemarkers,0
7430,2,defaultxmlpayloadconverter just supports domsource (documentation says otherwise),1
7431,2,"in si . . reference manual, ftpclient.changeworkingdirectory() should be set in ostprocessclientafterconnect()",0
7432,2,using filter on mget method at abstractremotefileoutboundgateway is not possible,0
7433,2,abstractmappingmessagerouter fails when channelkey is resolved to class<?>,1
7434,2,defaultlockrepository constructor visibility,0
7435,2,mixed usage of slf j and commons logging,0
7436,1,remove unexpected reactor dependency usage,0
7437,2,register publisherannotationbeanpostprocessor by default,0
7438,1,ftpremotefiletemplate exists() command not working as intended.,0
7439,1,npe in objecttojsontransformer,0
7440,0,the websocketstompsessionmanager.connect is dispatching to the wrong method on the websocketstompclient,0
7441,1,executorchannel does not call super.init(),0
7442,2,add includefilters/excludefilters into @integrationcomponentscan,1
7443,2,fix javadocs for messagechannelmetrics,0
7444,2,add missing javadocs to messaging annotation attributes,0
7445,2,jmsoutboundgatewaytests.testconnectionbreakonreplycustomcorrelation fails intermittently,2
7446,2,clientwebsocketcontainer isn't robust for failures and doesn't support recovery,0
7447,2,loopfuse integration on docs.spring.io is feeding adware,1
7448,2,tcp: failover of caching connection factory does not work with ob gateway,0
7449,2,abstractmongodbmessagegroupstoretests timing issue,0
7450,2,lazy load and message group factory issues,0
7451,1,more than one global wire tap not working,0
7452,2,"<ref bean="""" /> is really invalid within <int:channel-interceptor>, but the xsd does not indicate that",1
7453,2,queue channel: wrong reference on snippet code for message-store,0
7454,2,clarify what is the purpose of capacity attribute when is declared message-store attribute in <int:queue>,0
7455,2,possible error on persistent queuechannel configuration documentation,0
7456,0,abstractcorrelatingmessagehandler should not hold the reference to the messagegroup from the forcerelease scheduledfuture,0
7457,2,hsqlchannelmessagestorequeryprovider is not listed on jdbcchannelmessagestore's setchannelmessagestorequeryprovider method,0
7458,2,issues with kryocodec and mimemessage,0
7459,2,the messagechannelmetrics.gettimesincelastsend() shouldn't be calculated when the statsenabled == false,0
7460,2,"spring-integration- . .xsd, http://www.springframework.org/schema/integration:poller violate ""unique particle attribution""",0
7461,2,messagehistory creates a new message making advicemessage useless,0
7462,2,abstractscriptexecutor bugs,0
7463,2,error on documentation,0
7464,2,channel metrics report incorrect values for timesincelastsend,0
7465,2,cannot get inner exception from nestedioexception after sftpsession.remove(),0
7466,2,documentation references non-existent method,0
7467,2,check aggregator locking documentation,2
7468,0,exception occurs while http outbound gateway sending out delete request to restful service,0
