Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depends),Outward issue link (Duplicate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Supersede),Outward issue link (Supersede),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual Story Points),Custom field (Days since last comment),Custom field (Epic Link),Custom field (First Response Date),Custom field (Global Rank),Custom field (Last commented by a User),Custom field (Last updater),Custom field (Out of Scope),Custom field (Platform),Custom field (Pull Request URL),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Reference URL),Custom field (Spring Forum Reference),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Virtual Machine),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Restore JDK6 compatibility,XD-2038,59070,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,mark.fisher,mark.fisher,mark.fisher,29/Jul/14 6:48 AM,29/Jul/14 9:11 AM,10/Jul/21 8:37 AM,29/Jul/14 9:11 AM,,,,,,,1.0 GA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219283200,,,45229,false,tmarshall(tmarshall),,,,"0|i07qu7:",45220,44931,,,Sprint 32,,,2.0,,"29/Jul/14 8:12 AM;mark.fisher;submitted PR:
https://github.com/spring-projects/spring-xd/pull/1140",,,,,,,,,,,,,,,,,
Exclude HealthIndicatorAutoConfiguration,XD-2035,59062,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,iperumal,iperumal,iperumal,28/Jul/14 8:24 PM,28/Jul/14 9:48 PM,10/Jul/21 8:37 AM,28/Jul/14 9:48 PM,,,,,,,1.0 GA,,,,,,,0,,,,,,,"With HealthIndicatorAutoConfiguration, the health endpoint shows up:

{""status"":""DOWN"",""healthIndicator"":{""status"":""UP""},""rabbit"":{""status"":""DOWN"",""error"":""org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused""},""redis"":{""status"":""UP"",""version"":""2.8.9""},""mongo"":{""status"":""DOWN"",""error"":""org.springframework.dao.InvalidDataAccessResourceUsageException: Timed out while waiting to connect after 3894 ms; nested exception is com.mongodb.MongoTimeoutException: Timed out while waiting to connect after 3894 ms""},""db"":{""status"":""UP"",""database"":""HSQL Database Engine"",""hello"":1}}

We can only use vanilla health indicator, since other status may not be relevant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219283200,,,45221,true,tmarshall(tmarshall),,,,"0|i07qtj:",45217,44923,,,Sprint 32,,,1.0,,,,,,,,,,,,,,,,,,,
Custom location for modules.yml not working,XD-2034,59061,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Critical,Works as Designed,iperumal,thomas.risberg,thomas.risberg,28/Jul/14 5:42 PM,29/Jul/14 7:58 AM,10/Jul/21 8:37 AM,29/Jul/14 7:58 AM,,,,,,,1.0 GA,,Runtime,,,,,0,,,,,,,"tried local xd-admin/xd-container after setting

{code}
export XD_MODULE_CONFIG_LOCATION=file:./spring-xd-1.0.0.BUILD-SNAPSHOT-yarn/config/
{code}

have my twitter stuff in modules.yml in that directory but not picked up by the twitterstream module

Also not working for me deploying on YARN, this used to work at some point, not sure how long ago I actually tested this part - M6/M7?

The setting used for YARN deployment:

{code}
-Dxd.module.config.location: ""file:./""
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219283200,,2014-07-28 20:56:44.643,45220,false,tmarshall(tmarshall),,,,"0|i07qtb:",45216,44922,,,Sprint 32,,,3.0,,"28/Jul/14 8:56 PM;iperumal;It looks like the problem is with not copying the entire module config directory when configuring for twitterstream. Also, it turns out that,
XD_MODULE_CONFIG_LOCATION pointing to the complete directory structure is needed only for the modules that share common properties (rabbit, jdbc, twitter). otherwise, any other module properties require moduleType.<moduleName>.option syntax. ","28/Jul/14 8:58 PM;mark.pollack;Setting 
{code}
export XD_MODULE_CONFIG_LOCATION=file:/data/xd/config/modules/
{code}
works as well as
{code}
export XD_MODULE_CONFIG_LOCATION=file:///data/xd/config/modules/
{code}

worked.


",,,,,,,,,,,,,,,,
Connection pool settings need to be in their own section in server.yml,XD-2033,59060,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,thomas.risberg,thomas.risberg,thomas.risberg,28/Jul/14 4:09 PM,29/Jul/14 8:55 AM,10/Jul/21 8:37 AM,29/Jul/14 8:55 AM,,,,,,,1.0 GA,,,,,,,0,,,,,,,"The 
#ConnectionPoolSettings

define this in the beginning - 

{code}
#spring:
#  datasource:
{code}

uncommenting this will override/invalidate any changes made earlier in the section since it defines spring:datasource again

should either be removed or in separate section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219283200,,,45219,false,tmarshall(tmarshall),,,,"0|i07qt3:",45215,44921,,,Sprint 32,,,1.0,,"28/Jul/14 4:23 PM;thomas.risberg;Pull Request https://github.com/spring-projects/spring-xd/pull/1134",,,,,,,,,,,,,,,,,
Make producible media type to `application/json` for Job executions GET request endpoints ,XD-2030,59054,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,iperumal,iperumal,iperumal,28/Jul/14 11:31 AM,28/Jul/14 8:54 PM,10/Jul/21 8:37 AM,28/Jul/14 8:54 PM,,,,,,,1.0 GA,,,,,,,0,,,,,,,"As a temporary work around to fix XD-1935, make producible media type to 'application/json' for Job executions GET request endpoints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,219283200,,,45213,true,tmarshall(tmarshall),,,,"0|i07qrr:",45209,44915,,,Sprint 32,,,1.0,,"28/Jul/14 11:38 AM;iperumal;Submitted PR:

https://github.com/spring-projects/spring-xd/pull/1127","28/Jul/14 2:30 PM;iperumal;Merged as:

https://github.com/spring-projects/spring-xd/commit/0f17203b40de25df7cedf62086f5602d72dd1c71","28/Jul/14 2:56 PM;iperumal;It looks like the same issue happens with three other REST endpoints; fixed them here:

https://github.com/spring-projects/spring-xd/pull/1131",,,,,,,,,,,,,,,
Admin UI: Deployment Status tooltip should close when the controller scope is lost,XD-2021,59022,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,iperumal,iperumal,iperumal,25/Jul/14 2:24 PM,28/Jul/14 11:18 AM,10/Jul/21 8:37 AM,28/Jul/14 11:18 AM,,,,,,,1.0 GA,,UI,,,,,0,,,,,,,Please refer to: https://github.com/spring-projects/spring-xd/issues/1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219283200,,,45181,true,tmarshall(tmarshall),,,,"0|i07qlj:",45181,44883,,,Sprint 32,,,1.0,,"25/Jul/14 3:08 PM;iperumal;Submitted PR: https://github.com/spring-projects/spring-xd/pull/1123

We would revisit handling tooltip by introducing a directive instead of the current approach.","28/Jul/14 11:18 AM;iperumal;Merged as https://github.com/spring-projects/spring-xd/commit/bc5a2d3563a19c255c0eecfe972f0c956883f78d",,,,,,,,,,,,,,,,
Fix images alignment in reference pdf doc,XD-2018,59019,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,iperumal,iperumal,iperumal,25/Jul/14 8:58 AM,25/Jul/14 4:45 PM,10/Jul/21 8:37 AM,25/Jul/14 4:44 PM,,,,,,,1.0 GA,,,,,,,0,,,,,,,"The reference pdf doc has some of the images not aligned well within the document.

For the latest doc from snapshot build, please refer here:

http://repo.spring.io/libs-snapshot-local/org/springframework/xd/spring-xd/1.0.0.BUILD-SNAPSHOT/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219542400,,,45178,true,tmarshall(tmarshall),,,,"0|i07qkv:",45178,44880,,,Sprint 32,,,3.0,,"25/Jul/14 4:44 PM;iperumal;Updated the misaligned images to use fixed width and verified the html and pdf docs.

Going forward any image getting added to the wiki can follow this.","25/Jul/14 4:45 PM;iperumal;Fixed with this commit: 

https://github.com/spring-projects/spring-xd/wiki/XD-Distributed-Runtime/f4b74bdecbc5ea7125b3148262a503f6af7814fc",,,,,,,,,,,,,,,,
Spring XD UI: end-to-end tests do not work,XD-2015,59012,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,hillert,fbiville,fbiville,25/Jul/14 5:06 AM,02/Oct/14 11:24 AM,10/Jul/21 8:37 AM,26/Aug/14 9:38 AM,,,,,,,1.0.1,,UI,,,,,0,,,,,,,"Currently, end-to-end tests of Spring XD UI will not run, as protractor relies on a non-existing chromedriver.exe file.

Either the configuration has to be removed from the Gruntfile or the necessary dependencies should be there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,218419200,XD-2054,2014-08-05 09:13:03.408,45171,true,tmarshall(tmarshall),,,,"0|i001r3:",285,44873,,,Sprint 33,,,2.0,,"05/Aug/14 9:13 AM;hillert;[~fbiville] Are you trying to run the E2E tests on windows?","07/Aug/14 2:47 PM;hillert;This bug caused by multiple issues:

* The non-existence error of ""chromedriver.exe"" is a known issue. Made the documentation (README.md) clearer in that regard.
* Due to the recently introduced addition of *polling* the E2E tests were partially broken. Added *browser.ignoreSynchronization=true* to the tests as described at https://github.com/angular/protractor/issues/49
","07/Aug/14 2:51 PM;hillert;Submitted PR: https://github.com/spring-projects/spring-xd/pull/1151","07/Aug/14 2:56 PM;fbiville;Sorry for not replying earlier, I tried to run the E2E tests on my machine (Ubuntu 13.10).
Thanks for the doc clarification! I'll give it a try!","08/Aug/14 6:36 AM;hillert;Thanks!! If you get a chance please try with the PR - https://github.com/spring-projects/spring-xd/pull/1151 as there was another issue I fixed. ",,,,,,,,,,,,,
IllegalStateException when shutting down container,XD-2005,58961,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,pperalta,pperalta,pperalta,23/Jul/14 10:45 AM,23/Jul/14 1:59 PM,10/Jul/21 8:37 AM,23/Jul/14 1:59 PM,,,,,,,1.0 GA,,Runtime,,,,,0,,,,,,,"{noformat}
13:23:57,643  INFO main-EventThread server.ContainerRegistrar - Undeploying module [ModuleDescriptor@1c736092 moduleName = 'log', moduleLabel = 'log', group = 'paymenttap', sourceChannelName = 'tap:job:payment', sinkChannelName = [null], sinkChannelName = [null], index = 0, type = sink, parameters = map[[empty]], children = list[[empty]]]
13:23:57,643 ERROR main-EventThread imps.CuratorFrameworkImpl - Watcher exception
java.lang.IllegalStateException: instance must be started before calling this method
at com.google.common.base.Preconditions.checkState(Preconditions.java:176)
at org.apache.curator.framework.imps.CuratorFrameworkImpl.delete(CuratorFrameworkImpl.java:344)
at org.springframework.xd.dirt.server.ContainerRegistrar.unregisterTap(ContainerRegistrar.java:292)
at org.springframework.xd.dirt.server.ContainerRegistrar.undeployModule(ContainerRegistrar.java:257)
at org.springframework.xd.dirt.server.ContainerRegistrar$StreamModuleWatcher.process(ContainerRegistrar.java:711)
at org.apache.curator.framework.imps.NamespaceWatcher.process(NamespaceWatcher.java:67)
at org.apache.zookeeper.ClientCnxn$EventThread.processEvent(ClientCnxn.java:522)
at org.apache.zookeeper.ClientCnxn$EventThread.run(ClientCnxn.java:498)
{noformat}

Sequence of events:
* Stream module ZK path is removed
* Event is raised
* ZK connection is closed
* Event handler causes module undeployment which includes unregistration of tap
* Since connection is closed, exception is thrown
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219715200,,2014-07-23 13:59:41.566,45120,false,tmarshall(tmarshall),,,,"0|i07q4n:",45105,44822,,,Sprint 32,,,3.0,,"23/Jul/14 1:59 PM;mark.fisher;https://github.com/spring-projects/spring-xd/commit/07e80a2226f9b9fb2f0522367bb47914b94e3dd9",,,,,,,,,,,,,,,,,
Containers stopped responding to Admin,XD-2004,58958,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,pperalta,grenfro,grenfro,23/Jul/14 6:29 AM,02/Oct/14 11:24 AM,10/Jul/21 8:37 AM,22/Aug/14 1:13 PM,,,,,,,1.0.1,,,,,,,0,,,,,,,"SHA = a205d43f0b59e1984bf55c3368b031a373a03712
Environment: Rabbit Transport Test 1 admin 2 containers.

[Initial Event]
During the run of FileJdbcTest.testPartitionedFileJdbcJob the containers quit responding to the admin server.   After the initial failure at 12:26:46 no other streams can be deployed.  

[Secondary Event]
When shutting down one of the container 1 the following exception occurs on the admin server:
12:51:12,004  INFO DeploymentSupervisorCacheListener-0 server.DepartingContainerModuleRedeployer - Container departed: Container{name='5353dc4b-6068-49a0-8981-fa175869edf0', attributes={id=5353dc4b-6068-49a0-8981-fa175869edf0, host=domU-12-31-39-07-81-02, pid=1270, groups=, ip=10.209.130.240}}
12:51:12,004 ERROR DeploymentSupervisorCacheListener-0 cache.PathChildrenCache - 
org.apache.zookeeper.KeeperException$NoNodeException: KeeperErrorCode = NoNode for /xd/deployments/modules/allocated/5353dc4b-6068-49a0-8981-fa175869edf0
	at org.apache.zookeeper.KeeperException.create(KeeperException.java:111)
	at org.apache.zookeeper.KeeperException.create(KeeperException.java:51)
	at org.apache.zookeeper.ZooKeeper.getChildren(ZooKeeper.java:1590)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl$3.call(GetChildrenBuilderImpl.java:214)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl$3.call(GetChildrenBuilderImpl.java:203)
	at org.apache.curator.RetryLoop.callWithRetry(RetryLoop.java:107)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.pathInForeground(GetChildrenBuilderImpl.java:199)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.forPath(GetChildrenBuilderImpl.java:191)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.forPath(GetChildrenBuilderImpl.java:38)
	at org.springframework.xd.dirt.server.DepartingContainerModuleRedeployer.deployModules(DepartingContainerModuleRedeployer.java:101)
	at org.springframework.xd.dirt.server.ContainerListener.childEvent(ContainerListener.java:104)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503)
	at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92)
	at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297)
	at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500)
	at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762)
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)
	at java.util.concurrent.FutureTask.run(FutureTask.java:262)
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)
	at java.util.concurrent.FutureTask.run(FutureTask.java:262)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
	at java.lang.Thread.run(Thread.java:745)

The attached container logs are only partial, because they have rolled over.  The attached admin log is fairly complete.
",,,,,,,,,,,,,,,,,,,,,,,,"28/Jul/14 1:49 PM;grenfro;Log2ndtry.zip;https://jira.spring.io/secure/attachment/22146/Log2ndtry.zip","23/Jul/14 6:29 AM;grenfro;admin.log;https://jira.spring.io/secure/attachment/22134/admin.log","28/Jul/14 2:02 PM;grenfro;breakit.sh;https://jira.spring.io/secure/attachment/22147/breakit.sh","23/Jul/14 6:29 AM;grenfro;container1.log;https://jira.spring.io/secure/attachment/22136/container1.log","23/Jul/14 6:29 AM;grenfro;container2.log;https://jira.spring.io/secure/attachment/22135/container2.log","01/Aug/14 12:42 PM;pperalta;module-path-seq.png;https://jira.spring.io/secure/attachment/22157/module-path-seq.png",,,,,,,25.0,217123200,,2014-08-01 12:42:36.514,45117,true,tmarshall(tmarshall),,,,"0|i001q7:",281,44819,,,Sprint 33,,,12.0,,"23/Jul/14 6:35 AM;grenfro;Stopping container 2 I got the following Exception in the admin log.
13:33:16,004  INFO DeploymentSupervisorCacheListener-0 server.DepartingContainerModuleRedeployer - Container departed: Container{name='990e20e5-7a71-49ab-b9fe-aa0bd0cffbea', attributes={id=990e20e5-7a71-49ab-b9fe-aa0bd0cffbea, host=ip-10-72-66-107, pid=1200, groups=, ip=10.72.66.107}}
13:33:16,005 ERROR DeploymentSupervisorCacheListener-0 cache.PathChildrenCache - 
org.apache.zookeeper.KeeperException$NoNodeException: KeeperErrorCode = NoNode for /xd/deployments/modules/allocated/990e20e5-7a71-49ab-b9fe-aa0bd0cffbea
	at org.apache.zookeeper.KeeperException.create(KeeperException.java:111)
	at org.apache.zookeeper.KeeperException.create(KeeperException.java:51)
	at org.apache.zookeeper.ZooKeeper.getChildren(ZooKeeper.java:1590)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl$3.call(GetChildrenBuilderImpl.java:214)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl$3.call(GetChildrenBuilderImpl.java:203)
	at org.apache.curator.RetryLoop.callWithRetry(RetryLoop.java:107)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.pathInForeground(GetChildrenBuilderImpl.java:199)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.forPath(GetChildrenBuilderImpl.java:191)
	at org.apache.curator.framework.imps.GetChildrenBuilderImpl.forPath(GetChildrenBuilderImpl.java:38)
	at org.springframework.xd.dirt.server.DepartingContainerModuleRedeployer.deployModules(DepartingContainerModuleRedeployer.java:101)
	at org.springframework.xd.dirt.server.ContainerListener.childEvent(ContainerListener.java:104)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503)
	at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92)
	at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297)
	at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500)
	at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35)
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762)
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)
	at java.util.concurrent.FutureTask.run(FutureTask.java:262)
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)
	at java.util.concurrent.FutureTask.run(FutureTask.java:262)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
	at java.lang.Thread.run(Thread.java:745)
","23/Jul/14 6:45 AM;grenfro;After restarting containers, streams could be deployed again.","23/Jul/14 9:28 AM;grenfro;Patrick and I spent a little time going through the log.  The FileJdbcTest.testPartitionedFileJdbcJob does a quick series of stream creates to setup the environment for the job.   During this cycle of creating stream the container lost connectivity to the admin server and quickly reconnected.   This caused a quick deploy & undeploy of the dataSender4 and thus the failure.   Patrick can add more to this.  ","28/Jul/14 1:49 PM;grenfro;The logs from connection drop tests.","28/Jul/14 2:01 PM;grenfro;To Reproduce:

* On EC2 , deployed admin & 2 containers.  
* Each XD component was on its own instance.  
* The Admin instance hosted the ZK, Redis & Rabbit.
* Artifacts: Log2ndtry.zip & breakit.sh
** Log2ndtry.zip contains the logs
** breakit.sh the script used to close & open ports.

# from the shell: stream create foo --definition ""time|log"" --deploy
## Deployed 20:22:39,558
# Kicked off script to 
## close port 2181
## sleep 18 seconds
## open port 2181
# Container1 detected disconnect at 20:23:07, with the following warning: ConnectionStateManager-0 server.ContainerRegistrar - >>> disconnected container: 3fa30b73-3946-44bb-98b0-b081616e9594
# Stopped Both containers thus causing exceptions on the admin server at 20:24:36,005  & 20:25:28,006

Note: Before 20:16:01  you will see some artifacts from a previous run and should be ignored. ","01/Aug/14 12:42 PM;pperalta;There is a race condition that exists between the following entities:

# The container which creates the {{/xd/deployments/modules/allocated/container-id}} path. The container listens for new children on this path. When the admin supervisor picks this container for module deployment, it writes an entry as a child of this path.

# When the container departs, the supervisor will determine which modules the container was running by examining this path. (It is for this reason that it is not created as an ephemeral node.) Once its modules have been redeployed (if needed) that path is removed.

The race condition occurs when there is a momentary disconnect between the container and the ZooKeeper server. When the container reconnects it ensures that the {{.../modules/allocated/...}} path has been created. In the meantime the supervisor is still processing the event for container exit which takes a while because it has to redeploy that container's modules. When it is done processing the departure event, it removes the path that was just created by the container.

Since the path for deployment no longer exists, modules cannot be deployed to the container. In a small cluster, this can render streams undeployable since one of the modules will always target that container.

A proposed fix is to make the supervisor responsible for creating the module deployment path. This removes the race condition between the supervisor and the container. It means that only the supervisor can create and delete the path. A sequence diagram is attached.

At the moment this is causing a test failure in ContainerRedeploymentTests. Since it takes longer for a container to become available, modules are not distributed evenly in the case where a stream is deployed and all of the containers are started at once.
","05/Aug/14 9:17 AM;pperalta;After changing the supervisor to create the allocated modules path for each container, another race condition was exposed. It works as follows:

# Multiple containers join at the same time. Each creates an ephemeral node under {{/containers}}.
# The event for the first container is processed. That container has its allocated module path created.
# The event causes module deployments for pending modules.
# If the second, third, etc containers are targeted for deployment, those containers don't have their allocated modules path created yet (because they are handled when the event for those containers is emitted). This causes a {{NoNodeException}} upon deployment. ","22/Aug/14 1:13 PM;pperalta;https://github.com/spring-projects/spring-xd/pull/1161",,,,,,,,,,
Inconsistent failure while deploying job from admin UI,XD-1996,58906,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,hillert,iperumal,iperumal,18/Jul/14 4:02 PM,25/Jul/14 8:01 AM,10/Jul/21 8:37 AM,25/Jul/14 8:01 AM,,,,,,,1.0 GA,,UI,,,,,0,,,,,,,"After clicking 'deploy' on the definitions page, the 'deploy' button is deactivated and message says:

""An error occurred. We were unable to retrieve the module name from the provided definition ....""
and web console says:

TypeError: Cannot read property '0' of null
    at Object.getModuleNameFromJobDefinition (http://localhost:9393/admin-ui/scripts/shared/services.js:43:26)
    at http://localhost:9393/admin-ui/scripts/job/controllers/definition-deploy.js:35:36
    at wrappedCallback (http://localhost:9393/admin-ui/lib/angular/angular.js:11319:81)
    at http://localhost:9393/admin-ui/lib/angular/angular.js:11405:26
    at Scope.$eval (http://localhost:9393/admin-ui/lib/angular/angular.js:12412:28)
    at Scope.$digest (http://localhost:9393/admin-ui/lib/angular/angular.js:12224:31)
    at Scope.$apply (http://localhost:9393/admin-ui/lib/angular/angular.js:12516:24)
    at done (http://localhost:9393/admin-ui/lib/angular/angular.js:8204:45)
    at completeRequest (http://localhost:9393/admin-ui/lib/angular/angular.js:8412:7)
    at XMLHttpRequest.xhr.onreadystatechange (http://localhost:9393/admin-ui/lib/angular/angular.js:8351:11) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219628800,,2014-07-21 09:05:41.865,45065,true,tmarshall(tmarshall),,,,"0|i00akv:",1741,44767,,,Sprint 32,,,3.0,,"21/Jul/14 9:05 AM;thomas.risberg;Same issue? Is XD-1996 fixed after these changes for XD-1976?","21/Jul/14 9:10 AM;iperumal;Seems like I got the error even after the fix in XD-1976.","25/Jul/14 8:01 AM;hillert;PR merged: https://github.com/spring-projects/spring-xd/pull/1115",,,,,,,,,,,,,,,
Step execution count is zero for the job execution list result,XD-1995,58905,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,iperumal,iperumal,iperumal,18/Jul/14 3:18 PM,21/Jul/14 10:19 AM,10/Jul/21 8:37 AM,21/Jul/14 10:19 AM,,,,,,,1.0 GA,,,,,,,0,,,,,,,"For the Job execution list, the step execution count for each job execution is always set to zero.

For a single job execution display command, the step execution count is set correctly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,219888000,,2014-07-21 10:19:19.488,45064,false,tmarshall(tmarshall),,,,"0|i00al3:",1742,44766,,,Sprint 32,,,4.0,,"18/Jul/14 4:42 PM;iperumal;Submitted PR:

https://github.com/spring-projects/spring-xd/pull/1090","21/Jul/14 10:19 AM;mark.fisher;https://github.com/spring-projects/spring-xd/commit/80124d35d7d69d7b9f9adc8766adf9c275106d77",,,,,,,,,,,,,,,,
